country,year,variable,preceding_value,current_value,following_value,classification,action,decision_rule,authoritative_replacement_source
Zimbabwe,2006,adult_mortality,717.0,7.0,67.0,clearly_invalid,analysis_copy_set_missing,Single-digit adult mortality is a decimal/digit-scale break from an adjacent value above 100; set only the analysis copy to missing.,none
Zimbabwe,2003,adult_mortality,73.0,715.0,723.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Zimbabwe,2002,adult_mortality,686.0,73.0,715.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Swaziland,2003,adult_mortality,587.0,6.0,69.0,clearly_invalid,analysis_copy_set_missing,Single-digit adult mortality is a decimal/digit-scale break from an adjacent value above 100; set only the analysis copy to missing.,none
Zimbabwe,2008,adult_mortality,67.0,632.0,587.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Malawi,2005,adult_mortality,615.0,66.0,587.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Malawi,2003,adult_mortality,67.0,613.0,615.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Zambia,2002,adult_mortality,611.0,69.0,64.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Malawi,2002,adult_mortality,599.0,67.0,613.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Malawi,2006,adult_mortality,66.0,587.0,559.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Zambia,2004,adult_mortality,64.0,578.0,554.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Swaziland,2007,adult_mortality,564.0,51.0,477.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Swaziland,2006,adult_mortality,63.0,564.0,51.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Lesotho,2011,adult_mortality,527.0,52.0,513.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Uganda,2003,adult_mortality,523.0,53.0,485.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Central African Republic,2004,adult_mortality,51.0,512.0,511.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Lesotho,2012,adult_mortality,52.0,513.0,518.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Sierra Leone,2003,adult_mortality,513.0,57.0,496.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Central African Republic,2006,adult_mortality,511.0,56.0,495.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Sierra Leone,2005,adult_mortality,496.0,48.0,464.0,clearly_invalid,analysis_copy_set_missing,Isolated factor/decimal-scale break between two similar adjacent-year values; set only the analysis copy to missing.,none
Kiribati,2004,bmi,7.6,71.4,72.1,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Tonga,2008,bmi,7.8,71.5,72.1,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Kuwait,2015,bmi,7.8,71.4,,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Samoa,2008,bmi,7.9,71.4,72.0,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Samoa,2006,bmi,69.7,7.3,7.9,clearly_invalid,analysis_copy_set_missing,Single-digit national BMI is a decimal/digit-scale break from an adjacent value above 25; set only the analysis copy to missing.,none
Tonga,2006,bmi,69.4,7.1,7.8,clearly_invalid,analysis_copy_set_missing,Single-digit national BMI is a decimal/digit-scale break from an adjacent value above 25; set only the analysis copy to missing.,none
Kuwait,2013,bmi,69.5,7.2,7.8,clearly_invalid,analysis_copy_set_missing,Single-digit national BMI is a decimal/digit-scale break from an adjacent value above 25; set only the analysis copy to missing.,none
Kiribati,2003,bmi,69.7,7.6,71.4,clearly_invalid,analysis_copy_set_missing,Single-digit national BMI is a decimal/digit-scale break from an adjacent value above 25; set only the analysis copy to missing.,none
United Arab Emirates,2014,bmi,6.5,62.4,64.2,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Tunisia,2015,bmi,6.2,61.2,,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Egypt,2015,bmi,6.2,61.1,,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
Fiji,2013,bmi,6.2,61.1,61.9,merely_unusual,retained_and_flagged,Abrupt change remains inside a broad logical range but is not isolated between two agreeing neighbors; retain and flag.,none
